order,source,author.ID,name,variant.name,author.name,author.abbrev,standard.name,full.name,geog.author,geog.collector,family,family.obs,full.name1,tdwg.name,last.name,finger.print,family1,obs
3458,huh,72438,"Ma, Jin-Shuang",Jinshuang Ma,J. S. Ma,J. S. Ma,J. S. Ma,"Ma, Jin-Shuang",China,NA,Celastraceae,NA,Jin-Shuang Ma,"Jinshuang, M.",jinshuang,aghijmnnsu,"[author note: BNU: Old World Aristolochiaceae, Euphorbia of China, Celastraceae]",
3459,huh,48660,"Jordaan, Marie",Marie Prins,Jordaan,Jordaan,M. Jordaan,"Jordaan, Marie",South Africa,South Africa,Celastraceae,NA,Marie Jordaan (Prins),"Jordaan, M.",jordaan,aadjmnor,"[author note: Natl. Bot. Gard., Pretoria; Celastraceae; Col. at: NH, PRE] [collector note: col. at: NH, PRE]",
3460,huh,48660,"Jordaan, Marie",Marie Prins,Jordaan,Jordaan,M. Jordaan,"Jordaan, Marie",South Africa,South Africa,Celastraceae,NA,Marie Jordaan (Prins),"Prins, M.",prins,imnprs,"[author note: Natl. Bot. Gard., Pretoria; Celastraceae; Col. at: NH, PRE] [collector note: col. at: NH, PRE]",
3461,huh,1846,"Ramamurthy, Kandasamy",Kandasamy Ramamurthy,Ramamurthy,Ramam.,K. Ramamurthy,"Ramamurthy, Kandasamy",India,India,Celastraceae,NA,Kandasamy Ramamurthy,"Ramamurthy, K.",ramamurthy,aahkmmrrtuy,"[author note: Herbarium and types: MH. S Indian floristics and ecology; Indian Balsaminaceae and Celastraceae] [collector note: MH, PBL (col. with J. L. Ellis)]",
3462,huh,17786,"Simmons, Mark Pitkin",Mark Pitkin Simmons,M. P. Simmons,M. P. Simmons,M. P. Simmons,"Simmons, Mark Pitkin",USA,New Caledonia; USA,Celastraceae,NA,Mark Pitkin Simmons,"Simmons, M.P.",simmons,immmnopss,"[author note: Colorado St. Univ.; Euphorbiaceae, Celastraceae; Types: BH, CS, URV] [collector note: BH, CS, URV]",
3463,huh,47664,"JÇremie, J.",J. Jeremie,Jeremie,Jeremie,J. JÇremie,"JÇremie, J.",France,France,Chloranthaceae,NA,J. JÈremie,"Jeremie, J.",jeremie,eeeijjmr,"[author note: Monimiaceae, Chloranthaceae, and Rubiaceae of New Caledonia] [collector note: P]",
3464,huh,47664,"JÇremie, J.",J. Jeremie,Jeremie,Jeremie,J. JÇremie,"JÇremie, J.",France,France,Rubiaceae,NA,J. JÈremie,"Jeremie, J.",jeremie,eeeijjmr,"[author note: Monimiaceae, Chloranthaceae, and Rubiaceae of New Caledonia] [collector note: P]",
3465,huh,38123,"Wu, Kuo-fang",Kuo-Fang Wu,K. F. Wu,K. F. Wu,K. F. Wu,"Wu, Kuo-fang",China,China,Juncaceae,NA,Kuo-fang Wu,"Kuo-Fang, W.",kuo-fang,afgknouw,"[author note: HSNU; Monotropastrum, Chloranthaceae, Juncaceae, Xyridaceae, Pontederiaceae] [collector note: HSNU]",
3466,huh,38123,"Wu, Kuo-fang",Kuo-Fang Wu,K. F. Wu,K. F. Wu,K. F. Wu,"Wu, Kuo-fang",China,China,Xyridaceae,NA,Kuo-fang Wu,"Kuo-Fang, W.",kuo-fang,afgknouw,"[author note: HSNU; Monotropastrum, Chloranthaceae, Juncaceae, Xyridaceae, Pontederiaceae] [collector note: HSNU]",
3467,huh,38123,"Wu, Kuo-fang",Kuo-Fang Wu,K. F. Wu,K. F. Wu,K. F. Wu,"Wu, Kuo-fang",China,China,Pontederiaceae,NA,Kuo-fang Wu,"Kuo-Fang, W.",kuo-fang,afgknouw,"[author note: HSNU; Monotropastrum, Chloranthaceae, Juncaceae, Xyridaceae, Pontederiaceae] [collector note: HSNU]",
3468,huh,77759,"Mat-Salleh, Kamarudin Bin","Mat Salleh, Kamarudin",Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,NA,Zingiberaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.B.",mat-salleh,aabehkllmst,"Research: Annonaceae and Zingiberaceae. Example of Name Published: Woodiellantha grandifolia (Airy Shaw) Mat-Salleh & Latiff in Sandakania 11: 52. 1998; Geostachys erectifrons K.H.Lau, C.K.Lim & Mat-Salleh, Folia malaysiana 6:85. 2005. [author note: Annonaceae; Simaroubaceae; ethnobotany]",
3469,huh,77759,"Mat-Salleh, Kamarudin Bin","Mat Salleh, Kamarudin",Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,NA,Zingiberaceae,NA,Kamarudin Bin Mat-Salleh,"Mat Salleh, K.",salleh,aaehkllmst,"Research: Annonaceae and Zingiberaceae. Example of Name Published: Woodiellantha grandifolia (Airy Shaw) Mat-Salleh & Latiff in Sandakania 11: 52. 1998; Geostachys erectifrons K.H.Lau, C.K.Lim & Mat-Salleh, Folia malaysiana 6:85. 2005. [author note: Annonaceae; Simaroubaceae; ethnobotany]",
3470,huh,77759,"Mat-Salleh, Kamarudin Bin","Mat Salleh, Kamarudin",Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,NA,Simaroubaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.B.",mat-salleh,aabehkllmst,"Research: Annonaceae and Zingiberaceae. Example of Name Published: Woodiellantha grandifolia (Airy Shaw) Mat-Salleh & Latiff in Sandakania 11: 52. 1998; Geostachys erectifrons K.H.Lau, C.K.Lim & Mat-Salleh, Folia malaysiana 6:85. 2005. [author note: Annonaceae; Simaroubaceae; ethnobotany]",
3471,huh,77759,"Mat-Salleh, Kamarudin Bin","Mat Salleh, Kamarudin",Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,NA,Simaroubaceae,NA,Kamarudin Bin Mat-Salleh,"Mat Salleh, K.",salleh,aaehkllmst,"Research: Annonaceae and Zingiberaceae. Example of Name Published: Woodiellantha grandifolia (Airy Shaw) Mat-Salleh & Latiff in Sandakania 11: 52. 1998; Geostachys erectifrons K.H.Lau, C.K.Lim & Mat-Salleh, Folia malaysiana 6:85. 2005. [author note: Annonaceae; Simaroubaceae; ethnobotany]",
3472,huh,77759,"Mat-Salleh, Kamarudin Bin","Mat Salleh, Kamarudin",Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,NA,Annonaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.B.",mat-salleh,aabehkllmst,"Research: Annonaceae and Zingiberaceae. Example of Name Published: Woodiellantha grandifolia (Airy Shaw) Mat-Salleh & Latiff in Sandakania 11: 52. 1998; Geostachys erectifrons K.H.Lau, C.K.Lim & Mat-Salleh, Folia malaysiana 6:85. 2005. [author note: Annonaceae; Simaroubaceae; ethnobotany]",
3473,huh,77759,"Mat-Salleh, Kamarudin Bin","Mat Salleh, Kamarudin",Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,NA,Annonaceae,NA,Kamarudin Bin Mat-Salleh,"Mat Salleh, K.",salleh,aaehkllmst,"Research: Annonaceae and Zingiberaceae. Example of Name Published: Woodiellantha grandifolia (Airy Shaw) Mat-Salleh & Latiff in Sandakania 11: 52. 1998; Geostachys erectifrons K.H.Lau, C.K.Lim & Mat-Salleh, Folia malaysiana 6:85. 2005. [author note: Annonaceae; Simaroubaceae; ethnobotany]",
3474,huh,2874,"Gonzalez Villarreal, Luz Maria","Gonzalez Villarreal, Luz Mar°a et alia",L. M. Gonz†lez,L. M. Gonz†lez,L. M. Gonz†lez Villarreal,"Gonzalez Villarreal, Luz Maria",Mexico,Mexico,Ericaceae,NA,Luz Maria Gonzalez Villarreal,"Villarreal, L.M.G.",villarreal,aaegillllmrrv,"[author note: IBUG; Clethraceae, Ericaceae, Fagaceae; Types:] [collector note: BH, CAS, CHAPA, ENCB, F, IBUG, IEB, INIF, MEXU, MICH, NMC, NY, TEX, UC, US, WIS, ZEA]",
3475,huh,2874,"Gonzalez Villarreal, Luz Maria","Gonzalez Villarreal, Luz Mar°a et alia",L. M. Gonz†lez,L. M. Gonz†lez,L. M. Gonz†lez Villarreal,"Gonzalez Villarreal, Luz Maria",Mexico,Mexico,Ericaceae,NA,Luz Maria Gonzalez Villarreal,"Gonzalez Villarreal, L.M.",villarreal,aaaeegilllllmnorrvzz,"[author note: IBUG; Clethraceae, Ericaceae, Fagaceae; Types:] [collector note: BH, CAS, CHAPA, ENCB, F, IBUG, IEB, INIF, MEXU, MICH, NMC, NY, TEX, UC, US, WIS, ZEA]",
3476,huh,2874,"Gonzalez Villarreal, Luz Maria","Gonzalez Villarreal, Luz Mar°a et alia",L. M. Gonz†lez,L. M. Gonz†lez,L. M. Gonz†lez Villarreal,"Gonzalez Villarreal, Luz Maria",Mexico,Mexico,Fagaceae,NA,Luz Maria Gonzalez Villarreal,"Villarreal, L.M.G.",villarreal,aaegillllmrrv,"[author note: IBUG; Clethraceae, Ericaceae, Fagaceae; Types:] [collector note: BH, CAS, CHAPA, ENCB, F, IBUG, IEB, INIF, MEXU, MICH, NMC, NY, TEX, UC, US, WIS, ZEA]",
3477,huh,2874,"Gonzalez Villarreal, Luz Maria","Gonzalez Villarreal, Luz Mar°a et alia",L. M. Gonz†lez,L. M. Gonz†lez,L. M. Gonz†lez Villarreal,"Gonzalez Villarreal, Luz Maria",Mexico,Mexico,Fagaceae,NA,Luz Maria Gonzalez Villarreal,"Gonzalez Villarreal, L.M.",villarreal,aaaeegilllllmnorrvzz,"[author note: IBUG; Clethraceae, Ericaceae, Fagaceae; Types:] [collector note: BH, CAS, CHAPA, ENCB, F, IBUG, IEB, INIF, MEXU, MICH, NMC, NY, TEX, UC, US, WIS, ZEA]",
3478,huh,2874,"Gonzalez Villarreal, Luz Maria","Gonzalez Villarreal, Luz Mar°a et alia",L. M. Gonz†lez,L. M. Gonz†lez,L. M. Gonz†lez Villarreal,"Gonzalez Villarreal, Luz Maria",Mexico,Mexico,Clethraceae,NA,Luz Maria Gonzalez Villarreal,"Villarreal, L.M.G.",villarreal,aaegillllmrrv,"[author note: IBUG; Clethraceae, Ericaceae, Fagaceae; Types:] [collector note: BH, CAS, CHAPA, ENCB, F, IBUG, IEB, INIF, MEXU, MICH, NMC, NY, TEX, UC, US, WIS, ZEA]",
3479,huh,2874,"Gonzalez Villarreal, Luz Maria","Gonzalez Villarreal, Luz Mar°a et alia",L. M. Gonz†lez,L. M. Gonz†lez,L. M. Gonz†lez Villarreal,"Gonzalez Villarreal, Luz Maria",Mexico,Mexico,Clethraceae,NA,Luz Maria Gonzalez Villarreal,"Gonzalez Villarreal, L.M.",villarreal,aaaeegilllllmnorrvzz,"[author note: IBUG; Clethraceae, Ericaceae, Fagaceae; Types:] [collector note: BH, CAS, CHAPA, ENCB, F, IBUG, IEB, INIF, MEXU, MICH, NMC, NY, TEX, UC, US, WIS, ZEA]",
3480,huh,30940,"Hu, Lin-cheng",Lin-Cheng Hu,L. C. Hu,L. C. Hu,L. C. Hu,"Hu, Lin-cheng",China,China,Elaeagnaceae,NA,Lin-cheng Hu,"Lin-Cheng, H.",lin-cheng,ceghhilnn,"[author note: SZ; Clethraceae, Elaeagnaceae] [collector note: SZ]",
3481,huh,77759,"Mat-Salleh, Kamarudin Bin",Kamarudin Bin Mat-Salleh,Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,NA,Simaroubaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.B.",mat-salleh,aabehkllmst,"Research: Annonaceae and Zingiberaceae. Example of Name Published: Woodiellantha grandifolia (Airy Shaw) Mat-Salleh & Latiff in Sandakania 11: 52. 1998; Geostachys erectifrons K.H.Lau, C.K.Lim & Mat-Salleh, Folia malaysiana 6:85. 2005. [author note: Annonaceae; Simaroubaceae; ethnobotany]",
3482,huh,11712,"Cogollo Pacheco, Alvaro","Cogollo Pacheco, Alvaro et alia",Cogollo,Cogollo,A. Cogollo,"Cogollo Pacheco, Alvaro",Colombia,Colombia,Clusiaceae,NA,Alvaro Cogollo Pacheco,"Pacheco, A.C.",pacheco,aacccehop,"[author note: Clusiaceae; JAUM] [collector note: JAUM, MO]",
3483,huh,11712,"Cogollo Pacheco, Alvaro","Cogollo Pacheco, Alvaro et alia",Cogollo,Cogollo,A. Cogollo,"Cogollo Pacheco, Alvaro",Colombia,Colombia,Clusiaceae,NA,Alvaro Cogollo Pacheco,"Cogollo Pacheco, A.",pacheco,aaccceghlloooop,"[author note: Clusiaceae; JAUM] [collector note: JAUM, MO]",
3484,huh,11712,"Cogollo Pacheco, Alvaro","Cogollo, A.",Cogollo,Cogollo,A. Cogollo,"Cogollo Pacheco, Alvaro",Colombia,Colombia,Clusiaceae,NA,Alvaro Cogollo Pacheco,"Pacheco, A.C.",pacheco,aacccehop,"[author note: Clusiaceae; JAUM] [collector note: JAUM, MO]",
3485,huh,11712,"Cogollo Pacheco, Alvaro","Cogollo, A.",Cogollo,Cogollo,A. Cogollo,"Cogollo Pacheco, Alvaro",Colombia,Colombia,Clusiaceae,NA,Alvaro Cogollo Pacheco,"Cogollo, A.",cogollo,acgllooo,"[author note: Clusiaceae; JAUM] [collector note: JAUM, MO]",
3486,huh,11712,"Cogollo Pacheco, Alvaro","Cogollo, Alvaro",Cogollo,Cogollo,A. Cogollo,"Cogollo Pacheco, Alvaro",Colombia,Colombia,Clusiaceae,NA,Alvaro Cogollo Pacheco,"Pacheco, A.C.",pacheco,aacccehop,"[author note: Clusiaceae; JAUM] [collector note: JAUM, MO]",
3487,huh,11712,"Cogollo Pacheco, Alvaro","Cogollo, Alvaro",Cogollo,Cogollo,A. Cogollo,"Cogollo Pacheco, Alvaro",Colombia,Colombia,Clusiaceae,NA,Alvaro Cogollo Pacheco,"Cogollo, A.",cogollo,acgllooo,"[author note: Clusiaceae; JAUM] [collector note: JAUM, MO]",
3488,huh,14187,"Abdul-Salim, Kobinah",Kobinah Abdul-Salim,Abdul-Salim,NA,K. Abdul-Salim,"Abdul-Salim, Kobinah",USA,Costa Rica; Gabon; Madagascar; USA,Clusiaceae,NA,Kobinah Abdul-Salim,"Abdul-Salim, K.",abdul-salim,aabdikllmsu,"[author note: Harvard Univ. Herbaria, NY Bot. Gard.; Clusiaceae] [collector note: A, MO, US]",
3489,huh,14187,"Abdul-Salim, Kobinah",Thomas Christopher Flores,Abdul-Salim,NA,K. Abdul-Salim,"Abdul-Salim, Kobinah",USA,Costa Rica; Gabon; Madagascar; USA,Clusiaceae,NA,Kobinah Abdul-Salim,"Abdul-Salim, K.",abdul-salim,aabdikllmsu,"[author note: Harvard Univ. Herbaria, NY Bot. Gard.; Clusiaceae] [collector note: A, MO, US]",
3490,huh,14187,"Abdul-Salim, Kobinah",Thomas Christopher Flores,Abdul-Salim,NA,K. Abdul-Salim,"Abdul-Salim, Kobinah",USA,Costa Rica; Gabon; Madagascar; USA,Clusiaceae,NA,Kobinah Abdul-Salim,"Flores, T.C.",flores,ceflorst,"[author note: Harvard Univ. Herbaria, NY Bot. Gard.; Clusiaceae] [collector note: A, MO, US]",
3491,huh,14187,"Abdul-Salim, Kobinah",T. Christopher Flores,Abdul-Salim,NA,K. Abdul-Salim,"Abdul-Salim, Kobinah",USA,Costa Rica; Gabon; Madagascar; USA,Clusiaceae,NA,Kobinah Abdul-Salim,"Abdul-Salim, K.",abdul-salim,aabdikllmsu,"[author note: Harvard Univ. Herbaria, NY Bot. Gard.; Clusiaceae] [collector note: A, MO, US]",
3492,huh,14187,"Abdul-Salim, Kobinah",T. Christopher Flores,Abdul-Salim,NA,K. Abdul-Salim,"Abdul-Salim, Kobinah",USA,Costa Rica; Gabon; Madagascar; USA,Clusiaceae,NA,Kobinah Abdul-Salim,"Flores, T.C.",flores,ceflorst,"[author note: Harvard Univ. Herbaria, NY Bot. Gard.; Clusiaceae] [collector note: A, MO, US]",
3493,huh,22788,"Hammel, Barry E.",Barry E. Hammel,Hammel,Hammel,B. E. Hammel,"Hammel, Barry E.",Costa Rica; USA,Costa Rica; Surinam; USA,Clusiaceae,NA,Barry E. Hammel,"Hammel, B.E.",hammel,abeehlmm,"[author note: MO: Cyclanthaceae, Clusiaceae, flora of Costa Rica; Eponymy: Eugenia hammelii Barrie (2005).] [collector note: CR, F, INB, MO]",
3494,huh,44671,"Boom, Brian Morley","Boom, Brian Morley et alia",B. M. Boom,B. M. Boom,B. M. Boom,"Boom, Brian Morley",USA,Bolivia; Brazil; Ecuador; Guyana; Venezuela,Theaceae,NA,Brian Morley Boom,"Boom, B.M.",boom,bbmmoo,"[author note: Herbarium and types: NY; Rubiaceae, Theaceae, Clusiaceae, flora of Guyana Highlands, ethnobotany] [collector note: CAY, LPB, NY (orig.), R, TENN, VEN]",
3495,huh,44671,"Boom, Brian Morley","Boom, Brian Morley et alia",B. M. Boom,B. M. Boom,B. M. Boom,"Boom, Brian Morley",USA,Bolivia; Brazil; Ecuador; Guyana; Venezuela,Clusiaceae,NA,Brian Morley Boom,"Boom, B.M.",boom,bbmmoo,"[author note: Herbarium and types: NY; Rubiaceae, Theaceae, Clusiaceae, flora of Guyana Highlands, ethnobotany] [collector note: CAY, LPB, NY (orig.), R, TENN, VEN]",
3496,huh,37004,"Stevens, Peter Francis",P. F. Stevens,P. F. Stevens,P. F. Stevens,P. F. Stevens,"Stevens, Peter Francis",Papua New Guinea; USA,Malaysia; Papua New Guinea; USA,Ericaceae,NA,Peter Francis Stevens,"Stevens, P.F.",stevens,eefnpsstv,"[author note: A; phylogeny; history of classification; George Bentham; Clusiaceae, Ericaceae] [collector note: Mt. Suckling (col. 1972): e.g. LAE, A; husband of Elizabeth A. ""Toby"" Kellogg]",
3497,huh,37004,"Stevens, Peter Francis","Stevens, Peter F.",P. F. Stevens,P. F. Stevens,P. F. Stevens,"Stevens, Peter Francis",Papua New Guinea; USA,Malaysia; Papua New Guinea; USA,Clusiaceae,NA,Peter Francis Stevens,"Stevens, P.F.",stevens,eefnpsstv,"[author note: A; phylogeny; history of classification; George Bentham; Clusiaceae, Ericaceae] [collector note: Mt. Suckling (col. 1972): e.g. LAE, A; husband of Elizabeth A. ""Toby"" Kellogg]",
3498,huh,37004,"Stevens, Peter Francis","Stevens, Peter Francis et alia",P. F. Stevens,P. F. Stevens,P. F. Stevens,"Stevens, Peter Francis",Papua New Guinea; USA,Malaysia; Papua New Guinea; USA,Clusiaceae,NA,Peter Francis Stevens,"Stevens, P.F.",stevens,eefnpsstv,"[author note: A; phylogeny; history of classification; George Bentham; Clusiaceae, Ericaceae] [collector note: Mt. Suckling (col. 1972): e.g. LAE, A; husband of Elizabeth A. ""Toby"" Kellogg]",
3499,huh,23480,"Mat-Salleh, Kamarudin Bin",Kamarudin Mat-Salleh,Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,Brunei; Malaysia,Annonaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.B.",mat-salleh,aabehkllmst,"[author note: Univ. Kebangsaan; Annonaceae, Rafflesiaceae, Ethnobotany, Bidiversity Informatics, Malaysian floristics; Col. at: K, KEP, KLU, L, MSC, SAN, SAR, SING, UKMB] [collector note: K, KEP, KLU, L, MSC, SAN, SAR, SING, UKMS]",
3500,huh,23480,"Mat-Salleh, Kamarudin Bin",Kamarudin Mat-Salleh,Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,Brunei; Malaysia,Annonaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.",mat-salleh,aaehkllmst,"[author note: Univ. Kebangsaan; Annonaceae, Rafflesiaceae, Ethnobotany, Bidiversity Informatics, Malaysian floristics; Col. at: K, KEP, KLU, L, MSC, SAN, SAR, SING, UKMB] [collector note: K, KEP, KLU, L, MSC, SAN, SAR, SING, UKMS]",
3501,huh,23480,"Mat-Salleh, Kamarudin Bin",Kamarudin Bin Mat-Salleh,Mat-Salleh,Mat-Salleh,K. B. Mat-Salleh,"Mat-Salleh, Kamarudin Bin",Malaysia,Brunei; Malaysia,Rafflesiaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.B.",mat-salleh,aabehkllmst,"[author note: Univ. Kebangsaan; Annonaceae, Rafflesiaceae, Ethnobotany, Bidiversity Informatics, Malaysian floristics; Col. at: K, KEP, KLU, L, MSC, SAN, SAR, SING, UKMB] [collector note: K, KEP, KLU, L, MSC, SAN, SAR, SING, UKMS]",
3502,huh,28479,"Castillo-Campos, Gonzalo","Castillo-Campos, G.",Castillo-Campos,Cast.-Campos,G. Castillo-Campos,"Castillo-Campos, Gonzalo",Mexico,Mexico,Rubiaceae,NA,Gonzalo Castillo-Campos,"Castillo-Campos, G.",castillo-campos,aaccgillmoopsst,"[author note: Cochlospermaceae, Rubiaceae, Tovariaceae; XAL [Castillo-Campos provided a portion of the data]] [collector note: XAL]",
3503,huh,28479,"Castillo-Campos, Gonzalo","Castillo-Campos, G.",Castillo-Campos,Cast.-Campos,G. Castillo-Campos,"Castillo-Campos, Gonzalo",Mexico,Mexico,Tovariaceae,NA,Gonzalo Castillo-Campos,"Castillo-Campos, G.",castillo-campos,aaccgillmoopsst,"[author note: Cochlospermaceae, Rubiaceae, Tovariaceae; XAL [Castillo-Campos provided a portion of the data]] [collector note: XAL]",
3504,huh,28479,"Castillo-Campos, Gonzalo",Gonzalo Castillo,Castillo-Campos,Cast.-Campos,G. Castillo-Campos,"Castillo-Campos, Gonzalo",Mexico,Mexico,Cochlospermaceae,NA,Gonzalo Castillo-Campos,"Castillo-Campos, G.",castillo-campos,aaccgillmoopsst,"[author note: Cochlospermaceae, Rubiaceae, Tovariaceae; XAL [Castillo-Campos provided a portion of the data]] [collector note: XAL]",
3505,huh,28479,"Castillo-Campos, Gonzalo",Gonzalo Castillo,Castillo-Campos,Cast.-Campos,G. Castillo-Campos,"Castillo-Campos, Gonzalo",Mexico,Mexico,Cochlospermaceae,NA,Gonzalo Castillo-Campos,"Castillo, G.",castillo,acgillost,"[author note: Cochlospermaceae, Rubiaceae, Tovariaceae; XAL [Castillo-Campos provided a portion of the data]] [collector note: XAL]",
3506,huh,23290,"Stace, Clive Anthony",Clive Anthony Stace,Stace,Stace,C. A. Stace,"Stace, Clive Anthony",NA,NA,Combretaceae,NA,Clive Anthony Stace,"Stace, C.A.",stace,aaccest,"[author note: LTR; Poaceae, Combretaceae] [collector note: Herbarium (British Isles): LTR (2200 Brachyppdium, Festuca, Juncus & Vulpia, col. 1950-84), MNE (vasc. plants from Kent, col. 1950-84); British Isles: E, TLS (col. 1950's)]",
3507,huh,37317,"Jongkind, Carel Christiaan Hugo","Jongkind, C. C. H.",Jongkind,Jongkind,C. C. H. Jongkind,"Jongkind, Carel Christiaan Hugo",Netherlands,Ethiopia; Gabon; Ghana; Liberia; Madagascar; Netherlands,Combretaceae,NA,Carel Christiaan Hugo Jongkind,"Jongkind, C.C.H.",jongkind,ccdghijknno,"[author note: Wageningen Univ. branch;Trop. Africa, lianas, Combretaceae] [collector note: additional coll. from: CA'te d'Ivoire, Europe; COL, MO, WAG]",
3508,huh,3378,"Nanakorn, Weerachai",Weerachai Nanakorn,Nanakorn,Nanakorn,W. Nanakorn,"Nanakorn, Weerachai",Switzerland,Thailand,Loranthaceae,NA,Weerachai Nanakorn,"Nanakorn, W.",nanakorn,aaknnnorw,"[author note: Specimens at BKF. Combretaceae, Loranthaceae, Poaceae] [collector note: BKF]",
3509,huh,3378,"Nanakorn, Weerachai",Weerachai Nanakorn,Nanakorn,Nanakorn,W. Nanakorn,"Nanakorn, Weerachai",Switzerland,Thailand,Poaceae,NA,Weerachai Nanakorn,"Nanakorn, W.",nanakorn,aaknnnorw,"[author note: Specimens at BKF. Combretaceae, Loranthaceae, Poaceae] [collector note: BKF]",
3510,huh,2951,"Peter, (Gustav) Albert",Albert Peter,A. Peter,A. Peter,G. A. Peter,"Peter, (Gustav) Albert",Germany,Germany; Italy; Norway; Tanzania,Hydrophyllaceae,NA,(Gustav) Albert Peter,"Peter, A.",peter,aeeprt,"[author note: Convolvulaceae, Hydrophyllaceae, Polemoniaceae, Hieracium.] [collector note: Herbarium (Europe, col. 1868-x, mainly E. Prussia, Bavaria, C. Germany, Norway, Alps, Karpates & N. Yugoslavia): GOET]",
3511,huh,2951,"Peter, (Gustav) Albert",Albert Peter,A. Peter,A. Peter,G. A. Peter,"Peter, (Gustav) Albert",Germany,Germany; Italy; Norway; Tanzania,Polemoniaceae,NA,(Gustav) Albert Peter,"Peter, A.",peter,aeeprt,"[author note: Convolvulaceae, Hydrophyllaceae, Polemoniaceae, Hieracium.] [collector note: Herbarium (Europe, col. 1868-x, mainly E. Prussia, Bavaria, C. Germany, Norway, Alps, Karpates & N. Yugoslavia): GOET]",
3512,huh,83025,"McDonald, John Andrew",J. Andrew McDonald,J. A. McDonald,J. A. McDonald,J. A. McDonald,"McDonald, John Andrew",Indonesia; Mexico; USA,NA,Convolvulaceae,NA,John Andrew McDonald,"Mcdonald, J.A.",mcdonald,aacddjlmno,"[author note: A, TEX; Convolvulaceae; Asian floristics and biogeography; conservation; ethnobotany]",
3513,huh,83025,"McDonald, John Andrew",John Andrew McDonald,J. A. McDonald,J. A. McDonald,J. A. McDonald,"McDonald, John Andrew",Indonesia; Mexico; USA,NA,Convolvulaceae,NA,John Andrew McDonald,"Mcdonald, J.A.",mcdonald,aacddjlmno,"[author note: A, TEX; Convolvulaceae; Asian floristics and biogeography; conservation; ethnobotany]",
3514,huh,27156,"Austin, Daniel Frank",Daniel Frank Austin,D. F. Austin,D.F.Austin,D. F. Austin,"Austin, Daniel Frank",USA,Mexico; USA,Convolvulaceae,NA,Daniel Frank Austin,"Austin, D.F.",austin,adfinstu,"[author note: Convolvulaceae] [collector note: FAU] Death year from: Sandra Austin (wife of the author) (via George Staples). Example of Name Published: Dicranostyles costanensis Steyerm. & D. F. Austin, Ann. Missouri Bot. Gard. 57: 155. 1970",
3515,huh,694,"Verdcourt, Bernard",Bernard Verdcourt,Verdcourt,Verdc.,B. Verdcourt,"Verdcourt, Bernard",United Kingdom,NA,Fabaceae,NA,Bernard Verdcourt,"Verdcourt, B.",verdcourt,bcdeorrtuv,"[author note: K; Tropical East Africa flora, Rubiaceae, Fabaceae, Convolvulaceae] Example of Name Published: Spermatophyte example: Peucedanum canaliculatum Verdcourt in Kew Bull. 1954: 40. 1954. Pteridophyte example: Cheilanthes deboeri Verdcourt, Fl. Trop. E. Africa, Adiant.: 40. 2002. Education: PhD from Reading University in 1955 (vide a web reference).",
3516,huh,694,"Verdcourt, Bernard",Bernard Verdcourt,Verdcourt,Verdc.,B. Verdcourt,"Verdcourt, Bernard",United Kingdom,NA,Convolvulaceae,NA,Bernard Verdcourt,"Verdcourt, B.",verdcourt,bcdeorrtuv,"[author note: K; Tropical East Africa flora, Rubiaceae, Fabaceae, Convolvulaceae] Example of Name Published: Spermatophyte example: Peucedanum canaliculatum Verdcourt in Kew Bull. 1954: 40. 1954. Pteridophyte example: Cheilanthes deboeri Verdcourt, Fl. Trop. E. Africa, Adiant.: 40. 2002. Education: PhD from Reading University in 1955 (vide a web reference).",
